input_doi,openalex_id,openalex_doi,doi_exact_match,title,publication_year,oa_is_oa,oa_status,oa_license,has_pdf,has_grobid_xml,has_fulltext,pdf_url,grobid_xml_url,status
10.1016/j.cbpb.2012.01.006,https://openalex.org/W1971002315,10.1016/j.cbpb.2012.01.006,TRUE,"Changes in tissue and mitochondrial membrane composition during rapid growth, maturation and aging in rainbow trout, Oncorhynchus mykiss",2012,TRUE,green,public-domain,TRUE,TRUE,TRUE,https://content.openalex.org/works/W1971002315.pdf,https://content.openalex.org/works/W1971002315.grobid-xml,matched
10.32634/0869-8155-2023-377-12-46-52,https://openalex.org/W4390000847,10.32634/0869-8155-2023-377-12-46-52,TRUE,Epizootic situation of bacterial kidney disease (BKD),2023,TRUE,diamond,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4390000847.pdf,https://content.openalex.org/works/W4390000847.grobid-xml,matched
10.1088/1755-1315/677/5/052092,https://openalex.org/W3138115893,10.1088/1755-1315/677/5/052092,TRUE,Screening of bacterial kidney disease in the North-West region of the Russian Federation,2021,TRUE,diamond,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W3138115893.pdf,https://content.openalex.org/works/W3138115893.grobid-xml,matched
10.35800/jip.9.1.2021.32561,https://openalex.org/W3157385237,10.35800/jip.9.1.2021.32561,TRUE,"Lactococcus garvieae Isolates from Rainbow Trout (Oncorhynchus mykiss, W.) Compared by PLG and SA1B10 PCR Primer Pairs",2021,TRUE,diamond,cc-by-nc,TRUE,TRUE,TRUE,https://content.openalex.org/works/W3157385237.pdf,https://content.openalex.org/works/W3157385237.grobid-xml,matched
10.33714/masteb.768233,https://openalex.org/W3130605683,10.33714/masteb.768233,TRUE,In silico Characterization of bHLH Transcription Factor Genes in the Genome of Rainbow Trout (Oncorhynchus mykiss),2020,TRUE,diamond,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W3130605683.pdf,https://content.openalex.org/works/W3130605683.grobid-xml,matched
10.1016/j.aquaculture.2021.737720,https://openalex.org/W3213162192,10.1016/j.aquaculture.2021.737720,TRUE,Predicting oxygen levels in Atlantic salmon (Salmo salar) sea cages,2021,TRUE,hybrid,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W3213162192.pdf,https://content.openalex.org/works/W3213162192.grobid-xml,matched
10.1016/j.aquaculture.2022.738831,https://openalex.org/W4296199008,10.1016/j.aquaculture.2022.738831,TRUE,Effect of cage size on oxygen levels in Atlantic salmon sea cages: A model study,2022,TRUE,hybrid,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4296199008.pdf,https://content.openalex.org/works/W4296199008.grobid-xml,matched
10.3856/vol43-issue5-fulltext-22,https://openalex.org/W2301724066,10.3856/vol43-issue5-fulltext-22,TRUE,Rapid method for counting of blood leukocytes and its usefulness in health status assessment of rainbow trout (Oncorhynchus mykiss),2017,TRUE,gold,cc-by-nc-nd,TRUE,TRUE,TRUE,https://content.openalex.org/works/W2301724066.pdf,https://content.openalex.org/works/W2301724066.grobid-xml,matched
10.1016/j.marpol.2021.104692,https://openalex.org/W3185301657,10.1016/j.marpol.2021.104692,TRUE,A critical policy study on why introducing resource rent taxation in Norwegian salmon aquaculture failed,2021,TRUE,hybrid,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W3185301657.pdf,https://content.openalex.org/works/W3185301657.grobid-xml,matched
10.1017/s0031182020001158,https://openalex.org/W3043211222,10.1017/s0031182020001158,TRUE,In vitroandin vivoassays reveal that cations affect nematocyst discharge inMyxobolus cerebralis(Cnidaria: Myxozoa),2020,TRUE,green,NA,TRUE,TRUE,TRUE,https://content.openalex.org/works/W3043211222.pdf,https://content.openalex.org/works/W3043211222.grobid-xml,matched
