doi_for_lookup,openalex_id,openalex_title,openalex_is_retracted,openalex_lookup_status,openalex_error,last_checked_at,next_check_at
10.1007/s10750-026-06204-0,https://openalex.org/W7154501733,Ecological patterns of benthic communities in relation to salmon aquaculture in the Inner Sea of Chiloé (southern Chile),FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s10784-026-09725-0,https://openalex.org/W7161288596,The legitimacy of business-led multistakeholder partnerships for the 2030 Agenda: the case of salmon aquaculture sustainability,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s11259-025-10867-w,,,FALSE,failed,HTTP 504 Gateway Timeout.,2026-08-24T15:52:11Z,2026-08-25T15:52:11Z
10.1007/s11259-025-10895-6,https://openalex.org/W4414642999,"Pharmacokinetics of praziquantel in rainbow trout, Oncorhynchus mykiss (Walbaum 1792) following a single dose oral administration",FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s11259-025-11064-5,https://openalex.org/W7127954229,Adverse effects of thermal pollution on rainbow trout (Oncorhynchus mykiss): unveiling the roles of heat shock proteins and acute-phase proteinsMette,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s11259-026-11301-5,,,FALSE,failed,HTTP 504 Gateway Timeout.,2026-08-24T15:52:11Z,2026-08-25T15:52:11Z
10.1007/s11356-026-37542-0,https://openalex.org/W7134177836,"Assessment of microplastic contamination in rainbow trout (Oncorhynchus mykiss) and surface water of a high-altitude aquaculture system in the Chehel Chai River, Iran",FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s11626-025-01113-3,,,FALSE,failed,HTTP 504 Gateway Timeout.,2026-08-24T15:52:11Z,2026-08-25T15:52:11Z
10.1007/s12080-025-00617-8,https://openalex.org/W4411100442,"Threshold-based disease treatment approach modulates economic, conservation and evolutionary trade-offs in sea louse-salmon aquaculture system",FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1007/s12562-026-01970-1,,,FALSE,failed,HTTP 504 Gateway Timeout.,2026-08-24T15:52:11Z,2026-08-25T15:52:11Z
